codigo proyecto,nombre proyecto,mes presupuesto,partida presupuesto,monto presupuesto
PRY-016,Rediseño de experiencia móvil,Mayo 2026,Personal,99632.75
PRY-023,Renovación de puntos de venta,Octubre 2026,Software y licencias,118926.75
PRY-006,Campaña de posicionamiento regional,Marzo 2026,Comunicación y marketing,108220.75
PRY-013,Programa de sostenibilidad,Agosto 2026,Contingencias,6014.75
PRY-020,Actualización de marca,Enero 2026,Servicios profesionales,16558.75
PRY-002,Modernización de planta norte,Junio 2026,Transporte,4602.75
PRY-009,Desarrollo de portal web,Noviembre 2026,Mantenimiento,23896.75
PRY-016,Rediseño de experiencia móvil,Abril 2026,Equipamiento,34440.75
PRY-023,Renovación de puntos de venta,Septiembre 2026,Materiales,53734.75
PRY-005,Renovación de infraestructura TI,Febrero 2026,Capacitación,41778.75
PRY-012,Automatización de reportes,Julio 2026,Personal,52322.75
PRY-019,Proyecto de analítica avanzada,Diciembre 2026,Software y licencias,71616.75
PRY-001,Ampliación de oficina central,Mayo 2026,Comunicación y marketing,59660.75
PRY-008,Centro de atención al cliente,Octubre 2026,Personal,71079.75
PRY-015,Migración de datos corporativos,Marzo 2026,Software y licencias,90373.75
PRY-022,Programa de fidelización,Agosto 2026,Comunicación y marketing,109667.75
PRY-004,Programa de capacitación comercial,Enero 2026,Contingencias,97711.75
PRY-011,Expansión de almacenes,Junio 2026,Servicios profesionales,108255.75
PRY-018,Apertura de sede sur,Noviembre 2026,Transporte,6049.75
PRY-025,Resiliencia y continuidad operativa,Abril 2026,Mantenimiento,25343.75
PRY-007,Optimización de cadena de suministro,Septiembre 2026,Equipamiento,4637.75
PRY-015,Migración de datos corporativos,Febrero 2026,Materiales,25181.75
PRY-022,Programa de fidelización,Julio 2026,Capacitación,44475.75
PRY-004,Programa de capacitación comercial,Diciembre 2026,Personal,23769.75
PRY-011,Expansión de almacenes,Mayo 2026,Software y licencias,43063.75
PRY-018,Apertura de sede sur,Octubre 2026,Comunicación y marketing,62357.75
PRY-025,Resiliencia y continuidad operativa,Marzo 2026,Contingencias,81651.75
PRY-007,Optimización de cadena de suministro,Agosto 2026,Servicios profesionales,60945.75
PRY-014,Equipamiento de laboratorio,Enero 2026,Transporte,80239.75
PRY-021,Optimización energética,Julio 2026,Mantenimiento,99533.75
PRY-003,Implementación de CRM,Diciembre 2026,Equipamiento,78827.75
PRY-010,Plan de seguridad operativa,Mayo 2026,Materiales,98121.75
PRY-017,Mantenimiento de flota,Octubre 2026,Capacitación,117415.75
PRY-024,Gestión documental,Marzo 2026,Personal,6459.75
PRY-006,Campaña de posicionamiento regional,Agosto 2026,Software y licencias,116003.75
PRY-013,Programa de sostenibilidad,Enero 2026,Comunicación y marketing,13797.75
PRY-020,Actualización de marca,Junio 2026,Personal,25216.75
PRY-002,Modernización de planta norte,Noviembre 2026,Software y licencias,13260.75
PRY-009,Desarrollo de portal web,Abril 2026,Comunicación y marketing,32554.75
PRY-016,Rediseño de experiencia móvil,Septiembre 2026,Contingencias,51848.75
PRY-024,Gestión documental,Febrero 2026,Servicios profesionales,63642.75
PRY-006,Campaña de posicionamiento regional,Julio 2026,Transporte,51686.75
PRY-013,Programa de sostenibilidad,Diciembre 2026,Mantenimiento,70980.75
PRY-020,Actualización de marca,Mayo 2026,Equipamiento,81524.75
PRY-002,Modernización de planta norte,Octubre 2026,Materiales,69568.75
PRY-009,Desarrollo de portal web,Marzo 2026,Capacitación,88862.75
PRY-016,Rediseño de experiencia móvil,Agosto 2026,Personal,99406.75
PRY-023,Renovación de puntos de venta,Enero 2026,Software y licencias,118700.75
PRY-005,Renovación de infraestructura TI,Junio 2026,Comunicación y marketing,106744.75
PRY-012,Automatización de reportes,Noviembre 2026,Contingencias,4538.75
PRY-019,Proyecto de analítica avanzada,Abril 2026,Servicios profesionales,15082.75
PRY-001,Ampliación de oficina central,Septiembre 2026,Transporte,124626.75
PRY-008,Centro de atención al cliente,Febrero 2026,Mantenimiento,22420.75
PRY-015,Migración de datos corporativos,Julio 2026,Equipamiento,32964.75
PRY-022,Programa de fidelización,Diciembre 2026,Materiales,52258.75
PRY-004,Programa de capacitación comercial,Mayo 2026,Capacitación,40302.75
PRY-011,Expansión de almacenes,Octubre 2026,Personal,50846.75
PRY-018,Apertura de sede sur,Marzo 2026,Software y licencias,70140.75
PRY-025,Resiliencia y continuidad operativa,Agosto 2026,Comunicación y marketing,89434.75
PRY-008,Centro de atención al cliente,Enero 2026,Personal,70853.75
PRY-015,Migración de datos corporativos,Junio 2026,Software y licencias,90147.75
PRY-022,Programa de fidelización,Noviembre 2026,Comunicación y marketing,109441.75
PRY-004,Programa de capacitación comercial,Abril 2026,Contingencias,97485.75
PRY-011,Expansión de almacenes,Septiembre 2026,Servicios profesionales,108029.75
PRY-018,Apertura de sede sur,Febrero 2026,Transporte,5823.75
PRY-025,Resiliencia y continuidad operativa,Julio 2026,Mantenimiento,25117.75
PRY-007,Optimización de cadena de suministro,Enero 2026,Equipamiento,4411.75
PRY-014,Equipamiento de laboratorio,Junio 2026,Materiales,23705.75
PRY-021,Optimización energética,Noviembre 2026,Capacitación,42999.75
PRY-003,Implementación de CRM,Abril 2026,Personal,22293.75
PRY-010,Plan de seguridad operativa,Septiembre 2026,Software y licencias,41587.75
PRY-017,Mantenimiento de flota,Febrero 2026,Comunicación y marketing,60881.75
PRY-024,Gestión documental,Julio 2026,Contingencias,80175.75
PRY-006,Campaña de posicionamiento regional,Diciembre 2026,Servicios profesionales,59469.75
PRY-013,Programa de sostenibilidad,Mayo 2026,Transporte,78763.75
PRY-020,Actualización de marca,Octubre 2026,Mantenimiento,98057.75
PRY-002,Modernización de planta norte,Marzo 2026,Equipamiento,77351.75
PRY-009,Desarrollo de portal web,Agosto 2026,Materiales,96645.75
PRY-017,Mantenimiento de flota,Enero 2026,Capacitación,117189.75
PRY-024,Gestión documental,Junio 2026,Personal,6233.75
PRY-006,Campaña de posicionamiento regional,Noviembre 2026,Software y licencias,115777.75
PRY-013,Programa de sostenibilidad,Abril 2026,Comunicación y marketing,13571.75
PRY-020,Actualización de marca,Septiembre 2026,Personal,24990.75
PRY-002,Modernización de planta norte,Febrero 2026,Software y licencias,13034.75
PRY-009,Desarrollo de portal web,Julio 2026,Comunicación y marketing,32328.75
PRY-016,Rediseño de experiencia móvil,Diciembre 2026,Contingencias,51622.75
PRY-023,Renovación de puntos de venta,Mayo 2026,Servicios profesionales,62166.75
PRY-005,Renovación de infraestructura TI,Octubre 2026,Transporte,50210.75
PRY-012,Automatización de reportes,Marzo 2026,Mantenimiento,69504.75
PRY-019,Proyecto de analítica avanzada,Agosto 2026,Equipamiento,80048.75
PRY-001,Ampliación de oficina central,Enero 2026,Materiales,68092.75
PRY-008,Centro de atención al cliente,Junio 2026,Capacitación,87386.75
PRY-015,Migración de datos corporativos,Noviembre 2026,Personal,97930.75
PRY-022,Programa de fidelización,Abril 2026,Software y licencias,117224.75
PRY-004,Programa de capacitación comercial,Septiembre 2026,Comunicación y marketing,105268.75
PRY-011,Expansión de almacenes,Febrero 2026,Contingencias,124562.75
PRY-018,Apertura de sede sur,Julio 2026,Servicios profesionales,13606.75
PRY-001,Ampliación de oficina central,Diciembre 2026,Transporte,124400.75
PRY-008,Centro de atención al cliente,Mayo 2026,Mantenimiento,22194.75
PRY-015,Migración de datos corporativos,Octubre 2026,Equipamiento,32738.75
PRY-022,Programa de fidelización,Marzo 2026,Materiales,52032.75
PRY-004,Programa de capacitación comercial,Agosto 2026,Capacitación,40076.75
PRY-011,Expansión de almacenes,Enero 2026,Personal,50620.75
PRY-018,Apertura de sede sur,Julio 2026,Software y licencias,69914.75
PRY-025,Resiliencia y continuidad operativa,Diciembre 2026,Comunicación y marketing,89208.75
PRY-007,Optimización de cadena de suministro,Mayo 2026,Personal,69377.75
PRY-014,Equipamiento de laboratorio,Octubre 2026,Software y licencias,88671.75
PRY-021,Optimización energética,Marzo 2026,Comunicación y marketing,107965.75
PRY-003,Implementación de CRM,Agosto 2026,Contingencias,96009.75
PRY-010,Plan de seguridad operativa,Enero 2026,Servicios profesionales,106553.75
PRY-017,Mantenimiento de flota,Junio 2026,Transporte,4347.75
PRY-024,Gestión documental,Noviembre 2026,Mantenimiento,23641.75
PRY-006,Campaña de posicionamiento regional,Abril 2026,Equipamiento,124435.75
PRY-013,Programa de sostenibilidad,Septiembre 2026,Materiales,22229.75
PRY-020,Actualización de marca,Febrero 2026,Capacitación,41523.75
PRY-002,Modernización de planta norte,Julio 2026,Personal,20817.75
PRY-010,Plan de seguridad operativa,Diciembre 2026,Software y licencias,41361.75
PRY-017,Mantenimiento de flota,Mayo 2026,Comunicación y marketing,60655.75
PRY-024,Gestión documental,Octubre 2026,Contingencias,79949.75
PRY-006,Campaña de posicionamiento regional,Marzo 2026,Servicios profesionales,59243.75
PRY-013,Programa de sostenibilidad,Agosto 2026,Transporte,78537.75
PRY-020,Actualización de marca,Enero 2026,Mantenimiento,97831.75
PRY-002,Modernización de planta norte,Junio 2026,Equipamiento,77125.75
PRY-009,Desarrollo de portal web,Noviembre 2026,Materiales,96419.75
PRY-016,Rediseño de experiencia móvil,Abril 2026,Capacitación,115713.75
PRY-023,Renovación de puntos de venta,Septiembre 2026,Personal,4757.75
PRY-005,Renovación de infraestructura TI,Febrero 2026,Software y licencias,114301.75
PRY-012,Automatización de reportes,Julio 2026,Comunicación y marketing,12095.75
PRY-019,Proyecto de analítica avanzada,Diciembre 2026,Personal,23514.75
PRY-001,Ampliación de oficina central,Mayo 2026,Software y licencias,11558.75
PRY-008,Centro de atención al cliente,Octubre 2026,Comunicación y marketing,30852.75
PRY-015,Migración de datos corporativos,Marzo 2026,Contingencias,50146.75
PRY-022,Programa de fidelización,Agosto 2026,Servicios profesionales,60690.75
PRY-004,Programa de capacitación comercial,Enero 2026,Transporte,48734.75
PRY-011,Expansión de almacenes,Junio 2026,Mantenimiento,68028.75
PRY-019,Proyecto de analítica avanzada,Noviembre 2026,Equipamiento,79822.75
PRY-001,Ampliación de oficina central,Abril 2026,Materiales,67866.75
PRY-008,Centro de atención al cliente,Septiembre 2026,Capacitación,87160.75
PRY-015,Migración de datos corporativos,Febrero 2026,Personal,97704.75
PRY-022,Programa de fidelización,Julio 2026,Software y licencias,116998.75
PRY-004,Programa de capacitación comercial,Enero 2026,Comunicación y marketing,105042.75
PRY-011,Expansión de almacenes,Junio 2026,Contingencias,124336.75
PRY-018,Apertura de sede sur,Noviembre 2026,Servicios profesionales,13380.75
PRY-025,Resiliencia y continuidad operativa,Abril 2026,Transporte,32674.75
PRY-007,Optimización de cadena de suministro,Septiembre 2026,Mantenimiento,20718.75
PRY-014,Equipamiento de laboratorio,Febrero 2026,Equipamiento,31262.75
PRY-021,Optimización energética,Julio 2026,Materiales,50556.75
PRY-003,Implementación de CRM,Diciembre 2026,Capacitación,38600.75
PRY-010,Plan de seguridad operativa,Mayo 2026,Personal,49144.75
PRY-017,Mantenimiento de flota,Octubre 2026,Software y licencias,68438.75
PRY-024,Gestión documental,Marzo 2026,Comunicación y marketing,87732.75
PRY-006,Campaña de posicionamiento regional,Agosto 2026,Personal,67901.75
PRY-013,Programa de sostenibilidad,Enero 2026,Software y licencias,87195.75
PRY-020,Actualización de marca,Junio 2026,Comunicación y marketing,106489.75
PRY-003,Implementación de CRM,Noviembre 2026,Contingencias,95783.75
PRY-010,Plan de seguridad operativa,Abril 2026,Servicios profesionales,106327.75
PRY-017,Mantenimiento de flota,Septiembre 2026,Transporte,4121.75
PRY-024,Gestión documental,Febrero 2026,Mantenimiento,23415.75
PRY-006,Campaña de posicionamiento regional,Julio 2026,Equipamiento,124209.75
PRY-013,Programa de sostenibilidad,Diciembre 2026,Materiales,22003.75
PRY-020,Actualización de marca,Mayo 2026,Capacitación,41297.75
PRY-002,Modernización de planta norte,Octubre 2026,Personal,20591.75
PRY-009,Desarrollo de portal web,Marzo 2026,Software y licencias,39885.75
PRY-016,Rediseño de experiencia móvil,Agosto 2026,Comunicación y marketing,59179.75
PRY-023,Renovación de puntos de venta,Enero 2026,Contingencias,78473.75
PRY-005,Renovación de infraestructura TI,Junio 2026,Servicios profesionales,57767.75
PRY-012,Automatización de reportes,Noviembre 2026,Transporte,77061.75
PRY-019,Proyecto de analítica avanzada,Abril 2026,Mantenimiento,96355.75
PRY-001,Ampliación de oficina central,Septiembre 2026,Equipamiento,75649.75
PRY-008,Centro de atención al cliente,Febrero 2026,Materiales,94943.75
PRY-015,Migración de datos corporativos,Julio 2026,Capacitación,114237.75
PRY-022,Programa de fidelización,Diciembre 2026,Personal,124781.75
PRY-004,Programa de capacitación comercial,Mayo 2026,Software y licencias,112825.75
PRY-012,Automatización de reportes,Octubre 2026,Comunicación y marketing,11869.75
PRY-019,Proyecto de analítica avanzada,Marzo 2026,Personal,23288.75
PRY-001,Ampliación de oficina central,Agosto 2026,Software y licencias,11332.75
PRY-008,Centro de atención al cliente,Enero 2026,Comunicación y marketing,30626.75
PRY-015,Migración de datos corporativos,Julio 2026,Contingencias,49920.75
PRY-022,Programa de fidelización,Diciembre 2026,Servicios profesionales,60464.75
PRY-004,Programa de capacitación comercial,Mayo 2026,Transporte,48508.75
PRY-011,Expansión de almacenes,Octubre 2026,Mantenimiento,67802.75
PRY-018,Apertura de sede sur,Marzo 2026,Equipamiento,78346.75
PRY-025,Resiliencia y continuidad operativa,Agosto 2026,Materiales,97640.75
PRY-007,Optimización de cadena de suministro,Enero 2026,Capacitación,85684.75
PRY-014,Equipamiento de laboratorio,Junio 2026,Personal,96228.75
PRY-021,Optimización energética,Noviembre 2026,Software y licencias,115522.75
PRY-003,Implementación de CRM,Abril 2026,Comunicación y marketing,103566.75
PRY-010,Plan de seguridad operativa,Septiembre 2026,Contingencias,122860.75
PRY-017,Mantenimiento de flota,Febrero 2026,Servicios profesionales,11904.75
PRY-024,Gestión documental,Julio 2026,Transporte,31198.75
PRY-006,Campaña de posicionamiento regional,Diciembre 2026,Mantenimiento,19242.75
PRY-013,Programa de sostenibilidad,Mayo 2026,Equipamiento,29786.75
PRY-021,Optimización energética,Octubre 2026,Materiales,50330.75
PRY-003,Implementación de CRM,Marzo 2026,Capacitación,38374.75
PRY-010,Plan de seguridad operativa,Agosto 2026,Personal,48918.75
PRY-017,Mantenimiento de flota,Enero 2026,Software y licencias,68212.75
PRY-024,Gestión documental,Junio 2026,Comunicación y marketing,87506.75
PRY-006,Campaña de posicionamiento regional,Noviembre 2026,Personal,67675.75
PRY-013,Programa de sostenibilidad,Abril 2026,Software y licencias,86969.75
PRY-020,Actualización de marca,Septiembre 2026,Comunicación y marketing,106263.75
PRY-002,Modernización de planta norte,Febrero 2026,Contingencias,94307.75
PRY-009,Desarrollo de portal web,Julio 2026,Servicios profesionales,104851.75
PRY-016,Rediseño de experiencia móvil,Diciembre 2026,Transporte,124145.75
PRY-023,Renovación de puntos de venta,Mayo 2026,Mantenimiento,21939.75
PRY-005,Renovación de infraestructura TI,Octubre 2026,Equipamiento,122733.75
PRY-012,Automatización de reportes,Marzo 2026,Materiales,20527.75
PRY-019,Proyecto de analítica avanzada,Agosto 2026,Capacitación,39821.75
PRY-001,Ampliación de oficina central,Enero 2026,Personal,19115.75
PRY-008,Centro de atención al cliente,Junio 2026,Software y licencias,38409.75
PRY-015,Migración de datos corporativos,Noviembre 2026,Comunicación y marketing,57703.75
PRY-022,Programa de fidelización,Abril 2026,Contingencias,76997.75
PRY-005,Renovación de infraestructura TI,Septiembre 2026,Servicios profesionales,57541.75
PRY-012,Automatización de reportes,Febrero 2026,Transporte,76835.75
PRY-019,Proyecto de analítica avanzada,Julio 2026,Mantenimiento,96129.75
PRY-001,Ampliación de oficina central,Enero 2026,Equipamiento,75423.75
PRY-008,Centro de atención al cliente,Junio 2026,Materiales,94717.75
PRY-015,Migración de datos corporativos,Noviembre 2026,Capacitación,114011.75
PRY-022,Programa de fidelización,Abril 2026,Personal,124555.75
PRY-004,Programa de capacitación comercial,Septiembre 2026,Software y licencias,112599.75
PRY-011,Expansión de almacenes,Febrero 2026,Comunicación y marketing,10393.75
PRY-018,Apertura de sede sur,Julio 2026,Personal,21812.75
PRY-025,Resiliencia y continuidad operativa,Diciembre 2026,Software y licencias,41106.75
PRY-007,Optimización de cadena de suministro,Mayo 2026,Comunicación y marketing,29150.75
PRY-014,Equipamiento de laboratorio,Octubre 2026,Contingencias,48444.75
PRY-021,Optimización energética,Marzo 2026,Servicios profesionales,58988.75
PRY-003,Implementación de CRM,Agosto 2026,Transporte,47032.75
PRY-010,Plan de seguridad operativa,Enero 2026,Mantenimiento,66326.75
PRY-017,Mantenimiento de flota,Junio 2026,Equipamiento,76870.75
PRY-024,Gestión documental,Noviembre 2026,Materiales,96164.75
PRY-006,Campaña de posicionamiento regional,Abril 2026,Capacitación,84208.75
PRY-014,Equipamiento de laboratorio,Septiembre 2026,Personal,96002.75
PRY-021,Optimización energética,Febrero 2026,Software y licencias,115296.75
PRY-003,Implementación de CRM,Julio 2026,Comunicación y marketing,103340.75
PRY-010,Plan de seguridad operativa,Diciembre 2026,Contingencias,122634.75
PRY-017,Mantenimiento de flota,Mayo 2026,Servicios profesionales,11678.75
PRY-024,Gestión documental,Octubre 2026,Transporte,30972.75
PRY-006,Campaña de posicionamiento regional,Marzo 2026,Mantenimiento,19016.75
PRY-013,Programa de sostenibilidad,Agosto 2026,Equipamiento,29560.75
PRY-020,Actualización de marca,Enero 2026,Materiales,48854.75
PRY-002,Modernización de planta norte,Junio 2026,Capacitación,36898.75
PRY-009,Desarrollo de portal web,Noviembre 2026,Personal,47442.75
PRY-016,Rediseño de experiencia móvil,Abril 2026,Software y licencias,66736.75
PRY-023,Renovación de puntos de venta,Septiembre 2026,Comunicación y marketing,86030.75
PRY-005,Renovación de infraestructura TI,Febrero 2026,Personal,66199.75
PRY-012,Automatización de reportes,Julio 2026,Software y licencias,85493.75
PRY-019,Proyecto de analítica avanzada,Diciembre 2026,Comunicación y marketing,104787.75
PRY-001,Ampliación de oficina central,Mayo 2026,Contingencias,92831.75
PRY-008,Centro de atención al cliente,Octubre 2026,Servicios profesionales,103375.75
PRY-015,Migración de datos corporativos,Marzo 2026,Transporte,122669.75
PRY-023,Renovación de puntos de venta,Agosto 2026,Mantenimiento,21713.75
PRY-005,Renovación de infraestructura TI,Enero 2026,Equipamiento,122507.75
PRY-012,Automatización de reportes,Julio 2026,Materiales,20301.75
PRY-019,Proyecto de analítica avanzada,Diciembre 2026,Capacitación,39595.75
PRY-001,Ampliación de oficina central,Mayo 2026,Personal,18889.75
PRY-008,Centro de atención al cliente,Octubre 2026,Software y licencias,38183.75
PRY-015,Migración de datos corporativos,Marzo 2026,Comunicación y marketing,57477.75
PRY-022,Programa de fidelización,Agosto 2026,Contingencias,76771.75
PRY-004,Programa de capacitación comercial,Enero 2026,Servicios profesionales,56065.75
PRY-011,Expansión de almacenes,Junio 2026,Transporte,75359.75
PRY-018,Apertura de sede sur,Noviembre 2026,Mantenimiento,94653.75
PRY-025,Resiliencia y continuidad operativa,Abril 2026,Equipamiento,105197.75
PRY-007,Optimización de cadena de suministro,Septiembre 2026,Materiales,93241.75
PRY-014,Equipamiento de laboratorio,Febrero 2026,Capacitación,112535.75
PRY-021,Optimización energética,Julio 2026,Personal,123079.75
PRY-003,Implementación de CRM,Diciembre 2026,Software y licencias,111123.75
PRY-010,Plan de seguridad operativa,Mayo 2026,Comunicación y marketing,8917.75
PRY-017,Mantenimiento de flota,Octubre 2026,Personal,20336.75
PRY-024,Gestión documental,Marzo 2026,Software y licencias,39630.75
PRY-007,Optimización de cadena de suministro,Agosto 2026,Comunicación y marketing,28924.75
PRY-014,Equipamiento de laboratorio,Enero 2026,Contingencias,48218.75
PRY-021,Optimización energética,Junio 2026,Servicios profesionales,58762.75
PRY-003,Implementación de CRM,Noviembre 2026,Transporte,46806.75
PRY-010,Plan de seguridad operativa,Abril 2026,Mantenimiento,66100.75
PRY-017,Mantenimiento de flota,Septiembre 2026,Equipamiento,76644.75
PRY-024,Gestión documental,Febrero 2026,Materiales,95938.75
PRY-006,Campaña de posicionamiento regional,Julio 2026,Capacitación,83982.75
PRY-013,Programa de sostenibilidad,Diciembre 2026,Personal,94526.75
PRY-020,Actualización de marca,Mayo 2026,Software y licencias,113820.75
PRY-002,Modernización de planta norte,Octubre 2026,Comunicación y marketing,101864.75
PRY-009,Desarrollo de portal web,Marzo 2026,Contingencias,121158.75
PRY-016,Rediseño de experiencia móvil,Agosto 2026,Servicios profesionales,10202.75
PRY-023,Renovación de puntos de venta,Enero 2026,Transporte,29496.75
PRY-005,Renovación de infraestructura TI,Junio 2026,Mantenimiento,17540.75
PRY-012,Automatización de reportes,Noviembre 2026,Equipamiento,28084.75
PRY-019,Proyecto de analítica avanzada,Abril 2026,Materiales,47378.75
PRY-001,Ampliación de oficina central,Septiembre 2026,Capacitación,35422.75
PRY-008,Centro de atención al cliente,Febrero 2026,Personal,45966.75
PRY-016,Rediseño de experiencia móvil,Julio 2026,Software y licencias,66510.75
PRY-023,Renovación de puntos de venta,Enero 2026,Comunicación y marketing,85804.75
PRY-005,Renovación de infraestructura TI,Junio 2026,Personal,65973.75
PRY-012,Automatización de reportes,Noviembre 2026,Software y licencias,85267.75
PRY-019,Proyecto de analítica avanzada,Abril 2026,Comunicación y marketing,104561.75
PRY-001,Ampliación de oficina central,Septiembre 2026,Contingencias,92605.75
PRY-008,Centro de atención al cliente,Febrero 2026,Servicios profesionales,103149.75
PRY-015,Migración de datos corporativos,Julio 2026,Transporte,122443.75
PRY-022,Programa de fidelización,Diciembre 2026,Mantenimiento,20237.75
PRY-004,Programa de capacitación comercial,Mayo 2026,Equipamiento,121031.75
PRY-011,Expansión de almacenes,Octubre 2026,Materiales,18825.75
PRY-018,Apertura de sede sur,Marzo 2026,Capacitación,38119.75
PRY-025,Resiliencia y continuidad operativa,Agosto 2026,Personal,48663.75
PRY-007,Optimización de cadena de suministro,Enero 2026,Software y licencias,36707.75
PRY-014,Equipamiento de laboratorio,Junio 2026,Comunicación y marketing,56001.75
PRY-021,Optimización energética,Noviembre 2026,Contingencias,75295.75
PRY-003,Implementación de CRM,Abril 2026,Servicios profesionales,54589.75
PRY-010,Plan de seguridad operativa,Septiembre 2026,Transporte,73883.75
PRY-017,Mantenimiento de flota,Febrero 2026,Mantenimiento,93177.75
PRY-025,Resiliencia y continuidad operativa,Julio 2026,Equipamiento,104971.75
PRY-007,Optimización de cadena de suministro,Diciembre 2026,Materiales,93015.75
PRY-014,Equipamiento de laboratorio,Mayo 2026,Capacitación,112309.75
PRY-021,Optimización energética,Octubre 2026,Personal,122853.75
PRY-003,Implementación de CRM,Marzo 2026,Software y licencias,110897.75
PRY-010,Plan de seguridad operativa,Agosto 2026,Comunicación y marketing,8691.75
PRY-017,Mantenimiento de flota,Enero 2026,Personal,20110.75
PRY-024,Gestión documental,Junio 2026,Software y licencias,39404.75
PRY-006,Campaña de posicionamiento regional,Noviembre 2026,Comunicación y marketing,27448.75
PRY-013,Programa de sostenibilidad,Abril 2026,Contingencias,46742.75
PRY-020,Actualización de marca,Septiembre 2026,Servicios profesionales,57286.75
PRY-002,Modernización de planta norte,Febrero 2026,Transporte,45330.75
PRY-009,Desarrollo de portal web,Julio 2026,Mantenimiento,64624.75
PRY-016,Rediseño de experiencia móvil,Diciembre 2026,Equipamiento,75168.75
PRY-023,Renovación de puntos de venta,Mayo 2026,Materiales,94462.75
PRY-005,Renovación de infraestructura TI,Octubre 2026,Capacitación,82506.75
PRY-012,Automatización de reportes,Marzo 2026,Personal,93050.75
PRY-019,Proyecto de analítica avanzada,Agosto 2026,Software y licencias,112344.75
PRY-001,Ampliación de oficina central,Enero 2026,Comunicación y marketing,100388.75
PRY-009,Desarrollo de portal web,Julio 2026,Contingencias,120932.75
PRY-016,Rediseño de experiencia móvil,Diciembre 2026,Servicios profesionales,9976.75
PRY-023,Renovación de puntos de venta,Mayo 2026,Transporte,29270.75
PRY-005,Renovación de infraestructura TI,Octubre 2026,Mantenimiento,17314.75
PRY-012,Automatización de reportes,Marzo 2026,Equipamiento,27858.75
PRY-019,Proyecto de analítica avanzada,Agosto 2026,Materiales,47152.75
PRY-001,Ampliación de oficina central,Enero 2026,Capacitación,35196.75
PRY-008,Centro de atención al cliente,Junio 2026,Personal,45740.75
PRY-015,Migración de datos corporativos,Noviembre 2026,Software y licencias,65034.75
PRY-022,Programa de fidelización,Abril 2026,Comunicación y marketing,84328.75
PRY-004,Programa de capacitación comercial,Septiembre 2026,Personal,64497.75
PRY-011,Expansión de almacenes,Febrero 2026,Software y licencias,83791.75
PRY-018,Apertura de sede sur,Julio 2026,Comunicación y marketing,103085.75
PRY-025,Resiliencia y continuidad operativa,Diciembre 2026,Contingencias,122379.75
PRY-007,Optimización de cadena de suministro,Mayo 2026,Servicios profesionales,101673.75
PRY-014,Equipamiento de laboratorio,Octubre 2026,Transporte,120967.75
PRY-021,Optimización energética,Marzo 2026,Mantenimiento,18761.75
PRY-003,Implementación de CRM,Agosto 2026,Equipamiento,119555.75
PRY-010,Plan de seguridad operativa,Enero 2026,Materiales,17349.75
PRY-018,Apertura de sede sur,Junio 2026,Capacitación,37893.75
PRY-025,Resiliencia y continuidad operativa,Noviembre 2026,Personal,48437.75
PRY-007,Optimización de cadena de suministro,Abril 2026,Software y licencias,36481.75
PRY-014,Equipamiento de laboratorio,Septiembre 2026,Comunicación y marketing,55775.75
PRY-021,Optimización energética,Febrero 2026,Contingencias,75069.75
PRY-003,Implementación de CRM,Julio 2026,Servicios profesionales,54363.75
PRY-010,Plan de seguridad operativa,Diciembre 2026,Transporte,73657.75
PRY-017,Mantenimiento de flota,Mayo 2026,Mantenimiento,92951.75
PRY-024,Gestión documental,Octubre 2026,Equipamiento,103495.75
PRY-006,Campaña de posicionamiento regional,Marzo 2026,Materiales,91539.75
PRY-013,Programa de sostenibilidad,Agosto 2026,Capacitación,110833.75
PRY-020,Actualización de marca,Enero 2026,Personal,121377.75
PRY-002,Modernización de planta norte,Junio 2026,Software y licencias,109421.75
PRY-009,Desarrollo de portal web,Noviembre 2026,Comunicación y marketing,7215.75
PRY-016,Rediseño de experiencia móvil,Abril 2026,Personal,18634.75
PRY-023,Renovación de puntos de venta,Septiembre 2026,Software y licencias,37928.75
PRY-005,Renovación de infraestructura TI,Febrero 2026,Comunicación y marketing,25972.75
PRY-012,Automatización de reportes,Julio 2026,Contingencias,45266.75
PRY-019,Proyecto de analítica avanzada,Enero 2026,Servicios profesionales,55810.75
PRY-002,Modernización de planta norte,Junio 2026,Transporte,45104.75
PRY-009,Desarrollo de portal web,Noviembre 2026,Mantenimiento,64398.75
PRY-016,Rediseño de experiencia móvil,Abril 2026,Equipamiento,74942.75
PRY-023,Renovación de puntos de venta,Septiembre 2026,Materiales,94236.75
PRY-005,Renovación de infraestructura TI,Febrero 2026,Capacitación,82280.75
PRY-012,Automatización de reportes,Julio 2026,Personal,92824.75
PRY-019,Proyecto de analítica avanzada,Diciembre 2026,Software y licencias,112118.75
PRY-001,Ampliación de oficina central,Mayo 2026,Comunicación y marketing,100162.75
PRY-008,Centro de atención al cliente,Octubre 2026,Contingencias,119456.75
PRY-015,Migración de datos corporativos,Marzo 2026,Servicios profesionales,8500.75
PRY-022,Programa de fidelización,Agosto 2026,Transporte,27794.75
PRY-004,Programa de capacitación comercial,Enero 2026,Mantenimiento,15838.75
PRY-011,Expansión de almacenes,Junio 2026,Equipamiento,26382.75
PRY-018,Apertura de sede sur,Noviembre 2026,Materiales,45676.75
PRY-025,Resiliencia y continuidad operativa,Abril 2026,Capacitación,64970.75
PRY-007,Optimización de cadena de suministro,Septiembre 2026,Personal,44264.75
