codigo proyecto,mes gasto,partida gasto,monto gasto
PRY-008,Febrero 2026,Servicios profesionales,6821.5
PRY-019,Septiembre 2026,Capacitación,25907.5
PRY-005,Abril 2026,Servicios profesionales,16518.5
PRY-017,Noviembre 2026,Capacitación,36579.5
PRY-003,Junio 2026,Servicios profesionales,27190.5
PRY-014,Enero 2026,Capacitación,46276.5
PRY-025,Agosto 2026,Servicios profesionales,11762.5
PRY-011,Marzo 2026,Capacitación,6473.5
PRY-022,Octubre 2026,Servicios profesionales,21459.5
PRY-008,Mayo 2026,Capacitación,16170.5
PRY-019,Enero 2026,Servicios profesionales,31156.5
PRY-005,Agosto 2026,Capacitación,25867.5
PRY-016,Marzo 2026,Servicios profesionales,40853.5
PRY-002,Octubre 2026,Capacitación,35564.5
PRY-013,Mayo 2026,Servicios profesionales,1050.5
PRY-024,Diciembre 2026,Capacitación,20136.5
PRY-010,Julio 2026,Servicios profesionales,10747.5
PRY-021,Febrero 2026,Mantenimiento,30243.5
PRY-007,Septiembre 2026,Software y licencias,20854.5
PRY-018,Abril 2026,Mantenimiento,39940.5
PRY-005,Noviembre 2026,Software y licencias,31526.5
PRY-016,Junio 2026,Mantenimiento,1112.5
PRY-002,Enero 2026,Software y licencias,41223.5
PRY-013,Agosto 2026,Mantenimiento,10809.5
PRY-024,Marzo 2026,Software y licencias,25795.5
PRY-010,Octubre 2026,Mantenimiento,20506.5
PRY-021,Mayo 2026,Software y licencias,35492.5
PRY-007,Diciembre 2026,Mantenimiento,30203.5
PRY-018,Julio 2026,Software y licencias,45189.5
PRY-004,Febrero 2026,Mantenimiento,39900.5
PRY-015,Septiembre 2026,Software y licencias,5386.5
PRY-001,Abril 2026,Mantenimiento,49597.5
PRY-012,Noviembre 2026,Software y licencias,15083.5
PRY-023,Junio 2026,Mantenimiento,34169.5
PRY-009,Enero 2026,Software y licencias,24780.5
PRY-020,Agosto 2026,Mantenimiento,43866.5
PRY-006,Marzo 2026,Software y licencias,34477.5
PRY-018,Octubre 2026,Mantenimiento,5038.5
PRY-004,Mayo 2026,Software y licencias,45149.5
PRY-015,Enero 2026,Mantenimiento,14735.5
PRY-001,Agosto 2026,Software y licencias,5346.5
PRY-012,Marzo 2026,Mantenimiento,24432.5
PRY-023,Octubre 2026,Software y licencias,39418.5
PRY-009,Mayo 2026,Mantenimiento,34129.5
PRY-020,Diciembre 2026,Software y licencias,49115.5
PRY-006,Julio 2026,Mantenimiento,43826.5
PRY-017,Febrero 2026,Software y licencias,9312.5
PRY-003,Septiembre 2026,Mantenimiento,4023.5
PRY-014,Abril 2026,Materiales,19419.5
PRY-025,Noviembre 2026,Servicios básicos,38505.5
PRY-011,Junio 2026,Materiales,29116.5
PRY-022,Enero 2026,Servicios básicos,48202.5
PRY-008,Agosto 2026,Materiales,38813.5
PRY-019,Marzo 2026,Servicios básicos,8399.5
PRY-006,Octubre 2026,Materiales,49485.5
PRY-017,Mayo 2026,Servicios básicos,19071.5
PRY-003,Diciembre 2026,Materiales,9682.5
PRY-014,Julio 2026,Servicios básicos,28768.5
PRY-025,Febrero 2026,Materiales,43754.5
PRY-011,Septiembre 2026,Servicios básicos,38465.5
PRY-022,Abril 2026,Materiales,3951.5
PRY-008,Noviembre 2026,Servicios básicos,48162.5
PRY-019,Junio 2026,Materiales,13648.5
PRY-005,Enero 2026,Servicios básicos,8359.5
PRY-016,Agosto 2026,Materiales,23345.5
PRY-002,Marzo 2026,Servicios básicos,18056.5
PRY-013,Octubre 2026,Materiales,33042.5
PRY-024,Mayo 2026,Servicios básicos,2628.5
PRY-010,Enero 2026,Materiales,42739.5
PRY-021,Agosto 2026,Servicios básicos,12325.5
PRY-007,Marzo 2026,Materiales,2936.5
PRY-019,Octubre 2026,Servicios básicos,22997.5
PRY-005,Mayo 2026,Materiales,13608.5
PRY-016,Diciembre 2026,Servicios básicos,32694.5
PRY-002,Julio 2026,Materiales,23305.5
PRY-013,Febrero 2026,Servicios básicos,42391.5
PRY-024,Septiembre 2026,Materiales,7877.5
PRY-010,Abril 2026,Servicios básicos,2588.5
PRY-021,Noviembre 2026,Materiales,17574.5
PRY-007,Junio 2026,Personal,8595.5
PRY-018,Enero 2026,Transporte,27681.5
PRY-004,Agosto 2026,Personal,18292.5
PRY-015,Marzo 2026,Transporte,37378.5
PRY-001,Octubre 2026,Personal,27989.5
PRY-012,Mayo 2026,Transporte,47075.5
PRY-023,Diciembre 2026,Personal,12561.5
PRY-009,Julio 2026,Transporte,7272.5
PRY-020,Febrero 2026,Personal,22258.5
PRY-007,Septiembre 2026,Transporte,17944.5
PRY-018,Abril 2026,Personal,32930.5
PRY-004,Noviembre 2026,Transporte,27641.5
PRY-015,Junio 2026,Personal,42627.5
PRY-001,Enero 2026,Transporte,37338.5
PRY-012,Agosto 2026,Personal,2824.5
PRY-023,Marzo 2026,Transporte,21910.5
PRY-009,Octubre 2026,Personal,12521.5
PRY-020,Mayo 2026,Transporte,31607.5
PRY-006,Enero 2026,Personal,22218.5
PRY-017,Agosto 2026,Transporte,41304.5
PRY-003,Marzo 2026,Personal,31915.5
PRY-014,Octubre 2026,Transporte,1501.5
PRY-025,Mayo 2026,Personal,16487.5
PRY-011,Diciembre 2026,Transporte,11198.5
PRY-022,Julio 2026,Personal,26184.5
PRY-008,Febrero 2026,Transporte,20895.5
PRY-020,Septiembre 2026,Personal,36856.5
PRY-006,Abril 2026,Transporte,31567.5
PRY-017,Noviembre 2026,Personal,46553.5
PRY-003,Junio 2026,Transporte,41264.5
PRY-014,Enero 2026,Personal,6750.5
PRY-025,Agosto 2026,Comunicación y marketing,26246.5
PRY-011,Marzo 2026,Equipamiento,16857.5
PRY-022,Octubre 2026,Comunicación y marketing,35943.5
PRY-008,Mayo 2026,Equipamiento,26554.5
PRY-019,Diciembre 2026,Comunicación y marketing,45640.5
PRY-005,Julio 2026,Equipamiento,36251.5
PRY-016,Febrero 2026,Comunicación y marketing,5837.5
PRY-002,Septiembre 2026,Equipamiento,45948.5
PRY-013,Abril 2026,Comunicación y marketing,15534.5
PRY-024,Noviembre 2026,Equipamiento,30520.5
PRY-010,Junio 2026,Comunicación y marketing,25231.5
PRY-021,Enero 2026,Equipamiento,40217.5
PRY-008,Agosto 2026,Comunicación y marketing,35903.5
PRY-019,Marzo 2026,Equipamiento,1389.5
PRY-005,Octubre 2026,Comunicación y marketing,45600.5
PRY-016,Mayo 2026,Equipamiento,11086.5
PRY-002,Enero 2026,Comunicación y marketing,5797.5
PRY-013,Agosto 2026,Equipamiento,20783.5
PRY-024,Marzo 2026,Comunicación y marketing,39869.5
PRY-010,Octubre 2026,Equipamiento,30480.5
PRY-021,Mayo 2026,Comunicación y marketing,49566.5
PRY-007,Diciembre 2026,Equipamiento,40177.5
PRY-018,Julio 2026,Comunicación y marketing,9763.5
PRY-004,Febrero 2026,Equipamiento,49874.5
PRY-015,Septiembre 2026,Comunicación y marketing,19460.5
PRY-001,Abril 2026,Equipamiento,10071.5
PRY-012,Noviembre 2026,Comunicación y marketing,29157.5
PRY-023,Junio 2026,Equipamiento,44143.5
PRY-009,Enero 2026,Comunicación y marketing,38854.5
PRY-021,Agosto 2026,Equipamiento,5315.5
PRY-007,Marzo 2026,Comunicación y marketing,49526.5
PRY-018,Octubre 2026,Servicios profesionales,15422.5
PRY-004,Mayo 2026,Capacitación,10133.5
PRY-015,Diciembre 2026,Servicios profesionales,25119.5
PRY-001,Julio 2026,Capacitación,19830.5
PRY-012,Febrero 2026,Servicios profesionales,34816.5
PRY-023,Septiembre 2026,Capacitación,4402.5
PRY-009,Abril 2026,Servicios profesionales,44513.5
PRY-020,Noviembre 2026,Capacitación,14099.5
PRY-006,Junio 2026,Servicios profesionales,4710.5
PRY-017,Enero 2026,Capacitación,23796.5
PRY-003,Agosto 2026,Servicios profesionales,14407.5
PRY-014,Marzo 2026,Capacitación,33493.5
PRY-025,Octubre 2026,Servicios profesionales,48479.5
PRY-011,Mayo 2026,Capacitación,43190.5
PRY-022,Enero 2026,Servicios profesionales,8676.5
PRY-009,Agosto 2026,Capacitación,4362.5
PRY-020,Marzo 2026,Servicios profesionales,19348.5
PRY-006,Octubre 2026,Capacitación,14059.5
PRY-017,Mayo 2026,Servicios profesionales,29045.5
PRY-003,Diciembre 2026,Capacitación,23756.5
PRY-014,Julio 2026,Servicios profesionales,38742.5
PRY-025,Febrero 2026,Capacitación,8328.5
PRY-011,Septiembre 2026,Servicios profesionales,48439.5
PRY-022,Abril 2026,Capacitación,18025.5
PRY-008,Noviembre 2026,Servicios profesionales,8636.5
PRY-019,Junio 2026,Capacitación,27722.5
PRY-005,Enero 2026,Servicios profesionales,18333.5
PRY-016,Agosto 2026,Capacitación,37419.5
PRY-002,Marzo 2026,Servicios profesionales,28030.5
PRY-013,Octubre 2026,Capacitación,47116.5
PRY-024,Mayo 2026,Servicios profesionales,12602.5
PRY-010,Diciembre 2026,Mantenimiento,7723.5
PRY-022,Julio 2026,Software y licencias,23684.5
PRY-008,Febrero 2026,Mantenimiento,18395.5
PRY-019,Septiembre 2026,Software y licencias,33381.5
PRY-005,Abril 2026,Mantenimiento,28092.5
PRY-016,Noviembre 2026,Software y licencias,43078.5
PRY-002,Junio 2026,Mantenimiento,37789.5
PRY-013,Enero 2026,Software y licencias,3275.5
PRY-024,Agosto 2026,Mantenimiento,22361.5
PRY-010,Marzo 2026,Software y licencias,12972.5
PRY-021,Octubre 2026,Mantenimiento,32058.5
PRY-007,Mayo 2026,Software y licencias,22669.5
PRY-018,Enero 2026,Mantenimiento,41755.5
PRY-004,Agosto 2026,Software y licencias,32366.5
PRY-015,Marzo 2026,Mantenimiento,1952.5
PRY-001,Octubre 2026,Software y licencias,42063.5
PRY-012,Mayo 2026,Mantenimiento,11649.5
PRY-023,Diciembre 2026,Software y licencias,26635.5
PRY-010,Julio 2026,Mantenimiento,22321.5
PRY-021,Febrero 2026,Software y licencias,37307.5
PRY-007,Septiembre 2026,Mantenimiento,32018.5
PRY-018,Abril 2026,Software y licencias,47004.5
PRY-004,Noviembre 2026,Mantenimiento,41715.5
PRY-015,Junio 2026,Software y licencias,7201.5
PRY-001,Enero 2026,Mantenimiento,1912.5
PRY-012,Agosto 2026,Software y licencias,16898.5
PRY-023,Marzo 2026,Mantenimiento,35984.5
PRY-009,Octubre 2026,Software y licencias,26595.5
PRY-020,Mayo 2026,Mantenimiento,45681.5
PRY-006,Diciembre 2026,Software y licencias,36292.5
PRY-017,Julio 2026,Mantenimiento,5878.5
PRY-003,Febrero 2026,Materiales,46399.5
PRY-014,Septiembre 2026,Servicios básicos,15985.5
PRY-025,Abril 2026,Materiales,30971.5
PRY-011,Noviembre 2026,Servicios básicos,25682.5
PRY-023,Junio 2026,Materiales,41643.5
PRY-009,Enero 2026,Servicios básicos,36354.5
PRY-020,Agosto 2026,Materiales,1840.5
PRY-006,Marzo 2026,Servicios básicos,46051.5
PRY-017,Octubre 2026,Materiales,11537.5
PRY-003,Mayo 2026,Servicios básicos,6248.5
PRY-014,Enero 2026,Materiales,21234.5
PRY-025,Agosto 2026,Servicios básicos,40320.5
PRY-011,Marzo 2026,Materiales,30931.5
PRY-022,Octubre 2026,Servicios básicos,517.5
PRY-008,Mayo 2026,Materiales,40628.5
PRY-019,Diciembre 2026,Servicios básicos,10214.5
PRY-005,Julio 2026,Materiales,825.5
PRY-016,Febrero 2026,Servicios básicos,19911.5
PRY-002,Septiembre 2026,Materiales,10522.5
PRY-013,Abril 2026,Servicios básicos,29608.5
PRY-024,Noviembre 2026,Materiales,44594.5
PRY-011,Junio 2026,Servicios básicos,40280.5
PRY-022,Enero 2026,Materiales,5766.5
PRY-008,Agosto 2026,Servicios básicos,477.5
PRY-019,Marzo 2026,Materiales,15463.5
PRY-005,Octubre 2026,Servicios básicos,10174.5
PRY-016,Mayo 2026,Materiales,25160.5
PRY-002,Diciembre 2026,Servicios básicos,19871.5
PRY-013,Julio 2026,Materiales,34857.5
PRY-024,Febrero 2026,Servicios básicos,4443.5
PRY-010,Septiembre 2026,Materiales,44554.5
PRY-021,Abril 2026,Personal,10450.5
PRY-007,Noviembre 2026,Transporte,5161.5
PRY-018,Junio 2026,Personal,20147.5
PRY-004,Enero 2026,Transporte,14858.5
PRY-015,Agosto 2026,Personal,29844.5
PRY-001,Marzo 2026,Transporte,24555.5
PRY-012,Octubre 2026,Personal,39541.5
PRY-024,Mayo 2026,Transporte,10102.5
PRY-010,Enero 2026,Personal,713.5
PRY-021,Agosto 2026,Transporte,19799.5
PRY-007,Marzo 2026,Personal,10410.5
PRY-018,Octubre 2026,Transporte,29496.5
PRY-004,Mayo 2026,Personal,20107.5
PRY-015,Diciembre 2026,Transporte,39193.5
PRY-001,Julio 2026,Personal,29804.5
PRY-012,Febrero 2026,Transporte,48890.5
PRY-023,Septiembre 2026,Personal,14376.5
PRY-009,Abril 2026,Transporte,9087.5
PRY-020,Noviembre 2026,Personal,24073.5
PRY-006,Junio 2026,Transporte,18784.5
PRY-017,Enero 2026,Personal,33770.5
PRY-003,Agosto 2026,Transporte,28481.5
PRY-014,Marzo 2026,Personal,43467.5
PRY-025,Octubre 2026,Transporte,13053.5
PRY-012,Mayo 2026,Personal,4639.5
PRY-023,Diciembre 2026,Transporte,23725.5
PRY-009,Julio 2026,Personal,14336.5
PRY-020,Febrero 2026,Transporte,33422.5
PRY-006,Septiembre 2026,Personal,24033.5
PRY-017,Abril 2026,Transporte,43119.5
PRY-003,Noviembre 2026,Personal,33730.5
PRY-014,Junio 2026,Comunicación y marketing,3726.5
PRY-025,Enero 2026,Equipamiento,18712.5
PRY-011,Agosto 2026,Comunicación y marketing,13423.5
PRY-022,Marzo 2026,Equipamiento,28409.5
PRY-008,Octubre 2026,Comunicación y marketing,23120.5
PRY-019,Mayo 2026,Equipamiento,38106.5
PRY-005,Enero 2026,Comunicación y marketing,32817.5
PRY-016,Agosto 2026,Equipamiento,47803.5
PRY-002,Marzo 2026,Comunicación y marketing,42514.5
PRY-013,Octubre 2026,Equipamiento,8000.5
PRY-025,Mayo 2026,Comunicación y marketing,28061.5
PRY-011,Diciembre 2026,Equipamiento,18672.5
PRY-022,Julio 2026,Comunicación y marketing,37758.5
PRY-008,Febrero 2026,Equipamiento,28369.5
PRY-019,Septiembre 2026,Comunicación y marketing,47455.5
PRY-005,Abril 2026,Equipamiento,38066.5
PRY-016,Noviembre 2026,Comunicación y marketing,7652.5
PRY-002,Junio 2026,Equipamiento,47763.5
PRY-013,Enero 2026,Comunicación y marketing,17349.5
PRY-024,Agosto 2026,Equipamiento,32335.5
PRY-010,Marzo 2026,Comunicación y marketing,27046.5
PRY-021,Octubre 2026,Equipamiento,42032.5
PRY-007,Mayo 2026,Comunicación y marketing,36743.5
PRY-018,Diciembre 2026,Equipamiento,2229.5
PRY-004,Julio 2026,Comunicación y marketing,46440.5
PRY-015,Febrero 2026,Equipamiento,11926.5
PRY-001,Septiembre 2026,Comunicación y marketing,6637.5
PRY-013,Abril 2026,Equipamiento,22598.5
PRY-024,Noviembre 2026,Comunicación y marketing,41684.5
PRY-010,Junio 2026,Equipamiento,32295.5
PRY-021,Enero 2026,Comunicación y marketing,1881.5
PRY-007,Agosto 2026,Servicios profesionales,42402.5
PRY-018,Marzo 2026,Capacitación,11988.5
PRY-004,Octubre 2026,Servicios profesionales,2599.5
PRY-015,Mayo 2026,Capacitación,21685.5
PRY-001,Enero 2026,Servicios profesionales,12296.5
PRY-012,Agosto 2026,Capacitación,31382.5
PRY-023,Marzo 2026,Servicios profesionales,46368.5
PRY-009,Octubre 2026,Capacitación,41079.5
PRY-020,Mayo 2026,Servicios profesionales,6565.5
PRY-006,Diciembre 2026,Capacitación,1276.5
PRY-017,Julio 2026,Servicios profesionales,16262.5
PRY-003,Febrero 2026,Capacitación,10973.5
PRY-014,Septiembre 2026,Servicios profesionales,25959.5
PRY-001,Abril 2026,Capacitación,21645.5
PRY-012,Noviembre 2026,Servicios profesionales,36631.5
PRY-023,Junio 2026,Capacitación,6217.5
PRY-009,Enero 2026,Servicios profesionales,46328.5
PRY-020,Agosto 2026,Capacitación,15914.5
PRY-006,Marzo 2026,Servicios profesionales,6525.5
PRY-017,Octubre 2026,Capacitación,25611.5
PRY-003,Mayo 2026,Servicios profesionales,16222.5
PRY-014,Diciembre 2026,Capacitación,35308.5
PRY-025,Julio 2026,Servicios profesionales,794.5
PRY-011,Febrero 2026,Capacitación,45005.5
PRY-022,Septiembre 2026,Servicios profesionales,10491.5
PRY-008,Abril 2026,Capacitación,5202.5
PRY-019,Noviembre 2026,Servicios profesionales,20188.5
PRY-005,Junio 2026,Capacitación,14899.5
PRY-016,Enero 2026,Servicios profesionales,29885.5
PRY-002,Agosto 2026,Capacitación,24596.5
PRY-014,Marzo 2026,Servicios profesionales,40557.5
PRY-025,Octubre 2026,Mantenimiento,10553.5
PRY-011,Mayo 2026,Software y licencias,1164.5
PRY-022,Enero 2026,Mantenimiento,20250.5
PRY-008,Agosto 2026,Software y licencias,10861.5
PRY-019,Marzo 2026,Mantenimiento,29947.5
PRY-005,Octubre 2026,Software y licencias,20558.5
PRY-016,Mayo 2026,Mantenimiento,39644.5
PRY-002,Diciembre 2026,Software y licencias,30255.5
PRY-013,Julio 2026,Mantenimiento,49341.5
PRY-024,Febrero 2026,Software y licencias,14827.5
PRY-010,Septiembre 2026,Mantenimiento,9538.5
PRY-021,Abril 2026,Software y licencias,24524.5
PRY-007,Noviembre 2026,Mantenimiento,19235.5
PRY-018,Junio 2026,Software y licencias,34221.5
PRY-004,Enero 2026,Mantenimiento,28932.5
PRY-015,Agosto 2026,Software y licencias,43918.5
PRY-002,Marzo 2026,Mantenimiento,39604.5
PRY-013,Octubre 2026,Software y licencias,5090.5
PRY-024,Mayo 2026,Mantenimiento,24176.5
PRY-010,Diciembre 2026,Software y licencias,14787.5
PRY-021,Julio 2026,Mantenimiento,33873.5
PRY-007,Febrero 2026,Software y licencias,24484.5
PRY-018,Septiembre 2026,Mantenimiento,43570.5
PRY-004,Abril 2026,Software y licencias,34181.5
PRY-015,Noviembre 2026,Mantenimiento,3767.5
PRY-001,Junio 2026,Software y licencias,43878.5
PRY-012,Enero 2026,Mantenimiento,13464.5
PRY-023,Agosto 2026,Software y licencias,28450.5
PRY-009,Marzo 2026,Mantenimiento,23161.5
PRY-020,Octubre 2026,Software y licencias,38147.5
PRY-006,Mayo 2026,Mantenimiento,32858.5
PRY-017,Enero 2026,Materiales,48254.5
PRY-003,Agosto 2026,Servicios básicos,42965.5
PRY-015,Marzo 2026,Materiales,9426.5
PRY-001,Octubre 2026,Servicios básicos,4137.5
PRY-012,Mayo 2026,Materiales,19123.5
PRY-023,Diciembre 2026,Servicios básicos,38209.5
PRY-009,Julio 2026,Materiales,28820.5
PRY-020,Febrero 2026,Servicios básicos,47906.5
PRY-006,Septiembre 2026,Materiales,38517.5
PRY-017,Abril 2026,Servicios básicos,8103.5
PRY-003,Noviembre 2026,Materiales,48214.5
PRY-014,Junio 2026,Servicios básicos,17800.5
PRY-025,Enero 2026,Materiales,32786.5
PRY-011,Agosto 2026,Servicios básicos,27497.5
PRY-022,Marzo 2026,Materiales,42483.5
PRY-008,Octubre 2026,Servicios básicos,37194.5
PRY-019,Mayo 2026,Materiales,2680.5
PRY-005,Diciembre 2026,Servicios básicos,46891.5
PRY-016,Julio 2026,Materiales,12377.5
PRY-003,Febrero 2026,Servicios básicos,8063.5
PRY-014,Septiembre 2026,Materiales,23049.5
PRY-025,Abril 2026,Servicios básicos,42135.5
PRY-011,Noviembre 2026,Materiales,32746.5
PRY-022,Junio 2026,Servicios básicos,2332.5
PRY-008,Enero 2026,Materiales,42443.5
PRY-019,Agosto 2026,Servicios básicos,12029.5
PRY-005,Marzo 2026,Materiales,2640.5
PRY-016,Octubre 2026,Servicios básicos,21726.5
PRY-002,Mayo 2026,Materiales,12337.5
PRY-013,Enero 2026,Servicios básicos,31423.5
PRY-024,Agosto 2026,Materiales,46409.5
PRY-010,Marzo 2026,Personal,37430.5
PRY-021,Octubre 2026,Transporte,7016.5
PRY-007,Mayo 2026,Personal,47127.5
PRY-018,Diciembre 2026,Transporte,16713.5
PRY-004,Julio 2026,Personal,7324.5
PRY-016,Febrero 2026,Transporte,27385.5
PRY-002,Septiembre 2026,Personal,17996.5
PRY-013,Abril 2026,Transporte,37082.5
PRY-024,Noviembre 2026,Personal,2568.5
PRY-010,Junio 2026,Transporte,46779.5
PRY-021,Enero 2026,Personal,12265.5
PRY-007,Agosto 2026,Transporte,6976.5
PRY-018,Marzo 2026,Personal,21962.5
PRY-004,Octubre 2026,Transporte,16673.5
PRY-015,Mayo 2026,Personal,31659.5
PRY-001,Diciembre 2026,Transporte,26370.5
PRY-012,Julio 2026,Personal,41356.5
PRY-023,Febrero 2026,Transporte,10942.5
PRY-009,Septiembre 2026,Personal,1553.5
PRY-020,Abril 2026,Transporte,20639.5
PRY-006,Noviembre 2026,Personal,11250.5
PRY-017,Junio 2026,Transporte,30336.5
PRY-004,Enero 2026,Personal,21922.5
PRY-015,Agosto 2026,Transporte,41008.5
PRY-001,Marzo 2026,Personal,31619.5
PRY-012,Octubre 2026,Transporte,1205.5
PRY-023,Mayo 2026,Personal,16191.5
PRY-009,Enero 2026,Transporte,10902.5
PRY-020,Agosto 2026,Personal,25888.5
PRY-006,Marzo 2026,Transporte,20599.5
PRY-017,Octubre 2026,Personal,35585.5
PRY-003,Mayo 2026,Comunicación y marketing,30706.5
PRY-014,Diciembre 2026,Equipamiento,45692.5
PRY-025,Julio 2026,Comunicación y marketing,15278.5
PRY-011,Febrero 2026,Equipamiento,5889.5
PRY-022,Septiembre 2026,Comunicación y marketing,24975.5
PRY-008,Abril 2026,Equipamiento,15586.5
PRY-019,Noviembre 2026,Comunicación y marketing,34672.5
PRY-005,Junio 2026,Equipamiento,25283.5
PRY-017,Enero 2026,Comunicación y marketing,45344.5
PRY-003,Agosto 2026,Equipamiento,35955.5
PRY-014,Marzo 2026,Comunicación y marketing,5541.5
PRY-025,Octubre 2026,Equipamiento,20527.5
PRY-011,Mayo 2026,Comunicación y marketing,15238.5
PRY-022,Diciembre 2026,Equipamiento,30224.5
PRY-008,Julio 2026,Comunicación y marketing,24935.5
PRY-019,Febrero 2026,Equipamiento,39921.5
PRY-005,Septiembre 2026,Comunicación y marketing,34632.5
PRY-016,Abril 2026,Equipamiento,49618.5
PRY-002,Noviembre 2026,Comunicación y marketing,44329.5
PRY-013,Junio 2026,Equipamiento,9815.5
PRY-024,Enero 2026,Comunicación y marketing,28901.5
PRY-010,Agosto 2026,Equipamiento,19512.5
PRY-021,Marzo 2026,Comunicación y marketing,38598.5
PRY-007,Octubre 2026,Equipamiento,29209.5
PRY-018,Mayo 2026,Comunicación y marketing,48295.5
PRY-005,Enero 2026,Equipamiento,39881.5
PRY-016,Agosto 2026,Comunicación y marketing,9467.5
PRY-002,Marzo 2026,Equipamiento,49578.5
PRY-013,Octubre 2026,Comunicación y marketing,19164.5
PRY-024,Mayo 2026,Equipamiento,34150.5
PRY-010,Diciembre 2026,Comunicación y marketing,28861.5
PRY-021,Julio 2026,Servicios profesionales,44257.5
PRY-007,Febrero 2026,Capacitación,38968.5
PRY-018,Septiembre 2026,Servicios profesionales,4454.5
PRY-004,Abril 2026,Capacitación,48665.5
PRY-015,Noviembre 2026,Servicios profesionales,14151.5
PRY-001,Junio 2026,Capacitación,8862.5
PRY-012,Enero 2026,Servicios profesionales,23848.5
PRY-023,Agosto 2026,Capacitación,42934.5
